respondent_id,churned,age,gender,loyalty_level,how_long_a_customer,how_far_away,feel_valued_as_customer,get_often_inspiration,good_product_overview,pick_up_flexibility,fair_prices,looking_forward_to_the_next_12_months,see_improvements_recently,informed_about_new_products,find_productst_i_want,i_enjoy_buying
10031,0,6,1,1,3,1,3,1,1,1,2,3,1,,2,2
10032,1,3,2,1,1,2,1,1,1,1,1,4,1,,1,1
10033,0,3,2,1,2,,2,1,2,2,1,1,1,2,1,2
10034,0,6,1,3,2,4,1,2,1,2,4,1,1,1,1,1
10035,0,3,1,,1,2,1,2,1,2,1,2,1,,1,1
10036,1,3,,1,3,,3,3,1,3,4,3,1,,4,1
10037,0,4,1,,7,1,2,1,2,3,2,1,1,,1,1
10038,0,4,2,1,2,2,1,1,1,1,1,2,1,,1,1
10039,0,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1004,0,2,1,,3,1,2,2,2,1,5,1,2,,2,2
10040,1,3,2,2,2,2,1,1,2,2,4,1,2,,1,1
10041,0,2,2,,2,2,1,1,1,1,1,2,1,,1,1
10042,0,2,1,,1,2,2,1,1,2,1,1,1,,1,1
10043,0,6,1,1,5,2,1,1,1,1,1,1,1,1,1,1
10044,1,2,2,1,2,2,4,4,4,2,2,3,3,,3,3
10045,1,4,2,1,4,5,2,4,5,1,4,3,1,,2,1
10046,0,2,1,1,3,2,1,3,3,2,1,4,2,1,2,1
10047,0,5,1,1,6,1,1,5,1,1,1,1,1,1,1,1
10048,0,3,1,1,3,2,2,2,2,1,1,4,1,,1,2
10049,1,5,1,1,6,3,1,4,2,4,5,3,1,,2,2
1005,0,4,2,1,6,3,4,4,2,2,2,3,4,,4,4
10050,0,4,1,1,5,2,2,1,2,2,2,1,2,,2,1
10051,1,5,2,,6,2,3,2,2,2,4,4,2,,2,3
10052,0,5,2,,6,3,1,1,3,3,3,1,2,,2,2
10053,0,2,1,2,4,1,2,1,2,4,5,1,2,,2,1
10054,0,5,2,1,6,2,2,2,1,1,1,1,1,,1,1
10055,1,4,2,,2,2,2,2,2,2,4,2,1,,2,1
10056,0,5,,1,3,2,4,2,2,5,2,3,2,,2,4
10057,0,5,2,,3,2,1,1,1,1,1,4,2,,2,2
10058,1,2,2,1,1,1,1,1,1,1,1,4,1,,2,1
10059,0,2,2,1,2,3,4,1,1,4,2,1,1,,1,1
1006,0,6,1,1,3,1,1,2,2,2,2,4,1,,1,2
10060,1,2,2,1,2,1,2,2,4,4,1,1,1,,2,2
10061,0,5,1,1,3,1,3,2,4,1,2,2,1,,2,2
10062,1,2,1,1,2,3,2,2,2,2,5,3,3,3,2,4
10063,0,4,1,1,7,2,2,2,2,2,2,3,2,2,2,2
10064,0,4,2,1,7,2,1,1,1,1,1,2,1,1,1,1
10065,0,5,2,1,6,2,1,1,3,1,1,2,1,,2,1
10066,0,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1
10067,0,2,2,,2,2,3,3,3,3,5,4,3,,3,2
10068,1,3,2,1,3,1,1,1,1,1,1,4,1,,1,1
10069,1,5,1,,6,3,2,1,2,1,5,3,1,,1,2
1007,0,2,2,1,2,3,2,2,2,1,1,1,1,,3,1
10070,0,5,1,,6,3,1,1,3,2,3,1,1,,1,1
10071,1,3,1,3,5,2,5,2,2,5,5,2,2,2,2,3
10072,0,4,2,1,6,1,1,1,1,1,1,1,1,,1,1
10073,0,5,2,1,4,2,1,1,1,1,5,4,1,5,1,1
10074,1,3,2,1,3,2,5,5,2,5,5,3,2,2,5,5
10075,1,3,2,1,2,3,1,1,1,1,1,1,1,,1,1
10076,1,5,2,,4,2,4,1,3,1,1,4,2,,1,5
10077,1,3,2,1,5,1,2,2,2,2,2,4,2,2,2,2
10078,0,5,2,1,6,1,1,1,1,1,1,2,1,,1,1
10079,0,2,2,1,2,2,2,1,2,1,2,2,2,,3,2
1008,1,2,2,,1,3,2,2,5,5,4,1,2,,2,5
10080,0,2,1,1,2,3,1,5,1,5,1,1,1,1,1,5
10081,1,5,,1,2,2,3,4,2,2,4,3,1,,3,3
10082,1,2,1,1,1,3,5,3,5,5,1,3,1,5,5,4
10083,0,2,2,1,1,1,4,2,2,2,2,1,1,,4,2
10084,0,5,2,1,4,1,2,3,2,1,1,4,3,,2,2
10085,1,2,2,1,2,1,3,5,4,4,3,2,2,4,4,3
10086,1,3,2,2,5,2,2,1,2,1,4,1,2,,2,3
10087,0,3,1,,4,2,1,1,2,2,2,1,1,,1,1
10088,1,2,1,1,2,2,5,1,4,1,5,2,1,,5,5
10089,0,3,1,2,1,1,1,1,1,1,1,1,1,,1,1
1009,0,4,1,,1,2,1,1,1,1,2,1,1,,1,1
10090,0,4,2,,2,1,2,2,1,1,2,1,1,,1,1
10091,0,4,2,1,2,3,2,5,4,4,3,2,3,3,2,1
10092,0,5,2,1,6,2,2,1,2,2,1,1,1,,2,2
10093,1,5,1,1,5,1,1,1,1,1,1,4,2,,1,1
10094,1,3,1,1,3,2,5,5,1,3,3,3,2,2,5,4
10095,0,6,2,1,4,1,1,1,1,1,1,1,1,,1,1
10096,1,3,2,1,3,3,1,1,1,1,1,4,1,,1,1
10097,0,6,2,1,7,1,2,1,1,1,1,2,1,1,1,1
10098,1,2,2,,1,1,3,3,4,2,3,4,3,,2,4
10099,1,3,,2,4,4,1,1,1,1,1,1,3,,1,2
101,0,3,2,,2,3,1,1,2,1,3,4,1,,1,1
1010,0,3,1,,4,1,2,1,1,1,4,1,2,,2,2
10100,0,4,2,2,4,2,1,2,2,4,4,1,1,,2,1
10101,0,6,2,1,1,2,2,1,3,1,1,4,2,,2,2
10102,0,3,1,,5,2,4,4,1,2,4,1,1,,1,1
10103,0,3,,1,3,3,2,5,5,2,4,3,4,3,4,4
10104,0,2,2,1,3,2,2,2,2,2,2,3,2,2,3,2
10105,0,4,2,,3,1,1,1,1,1,1,4,1,,1,1
10106,0,2,2,1,3,1,4,5,3,1,1,2,1,1,4,3
10107,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
10108,0,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1
10109,1,5,,1,8,3,5,4,4,4,2,1,2,,3,4
1011,0,1,1,,1,2,5,5,1,4,2,1,1,,1,1
10110,0,5,2,1,3,1,2,4,2,4,2,3,2,,2,4
10111,1,6,1,1,6,2,2,2,4,2,4,2,2,1,2,1
10112,1,5,3,1,4,2,5,1,3,1,4,3,1,2,1,4
10113,0,5,1,4,8,1,3,2,2,2,2,1,2,,2,2
10114,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10115,1,5,2,1,5,1,3,2,3,2,3,3,2,,3,3
10116,0,3,,1,2,1,2,2,3,2,2,1,2,,2,4
10117,1,5,1,3,8,3,5,5,2,2,2,3,1,,1,5
10118,1,5,2,1,5,3,5,5,4,3,5,3,2,2,5,3
10119,0,3,1,,1,1,1,1,1,1,4,1,1,,1,1
1012,0,5,1,1,4,1,2,2,2,1,1,1,1,,2,4
10120,0,4,2,1,1,1,2,3,2,1,1,1,1,2,1,1
10121,0,5,2,1,7,2,2,2,2,1,2,2,2,1,2,2
10122,1,5,,1,4,2,4,3,4,2,4,3,2,,2,4
10123,0,2,1,,1,1,1,1,1,1,4,1,1,,1,1
10124,0,3,2,,1,2,5,2,4,1,2,4,2,,2,1
10125,0,2,2,1,3,1,1,2,1,2,1,3,1,1,2,3
10126,1,5,2,1,8,5,1,2,1,1,4,4,1,1,1,2
10127,0,4,1,1,1,2,2,1,2,1,2,2,1,,1,2
10128,1,5,2,1,4,1,4,1,2,2,1,1,2,5,5,4
10129,0,3,2,1,1,2,1,1,1,1,1,1,1,,1,1
1013,0,5,2,,6,2,1,2,3,1,4,3,1,,2,2
10130,0,2,2,1,2,2,2,2,1,1,1,1,1,,2,1
10131,0,3,2,,4,1,1,2,2,2,1,1,1,,1,1
10132,0,5,1,1,4,1,3,3,3,2,2,4,2,3,2,2
10133,0,5,2,1,6,4,2,1,2,4,2,4,1,2,1,2
10134,0,5,2,1,5,1,1,1,2,1,1,4,1,2,1,1
10135,1,4,2,1,7,3,5,5,4,5,2,3,2,3,3,5
10136,0,2,1,,1,2,1,4,3,1,1,1,2,,1,1
10137,1,2,1,1,2,3,3,2,2,1,5,1,2,,3,3
10138,1,3,1,,3,2,5,3,4,4,5,4,2,,5,5
10139,0,6,1,1,8,2,1,2,2,1,2,1,2,2,1,1
1014,1,4,1,1,6,1,4,5,5,5,2,3,2,,5,4
10140,1,5,,1,5,1,5,5,4,2,5,2,5,,5,5
10141,1,4,,,6,,4,2,4,4,5,3,1,,5,5
10142,1,3,2,1,3,2,1,4,1,4,4,1,2,,2,1
10143,0,4,2,3,7,1,2,1,2,1,2,3,1,1,1,1
10144,0,1,2,,1,2,1,1,2,2,2,1,1,,2,1
10145,1,2,1,1,4,4,3,2,3,1,4,4,2,2,3,2
10146,0,2,2,1,3,1,2,4,2,2,2,2,2,,2,3
10147,1,2,,1,2,2,3,5,5,2,1,4,1,,3,4
10148,1,4,1,,3,2,5,5,5,2,5,4,2,,5,5
10149,1,3,2,,1,3,2,4,4,4,1,2,2,,2,2
1015,1,3,1,2,1,2,5,5,4,5,2,2,1,,1,3
10150,0,4,2,,5,1,2,1,2,2,2,1,1,,1,1
10151,0,5,2,1,5,1,1,1,1,1,1,1,1,1,1,1
10152,0,5,2,1,1,3,1,1,1,1,1,1,1,1,1,1
10153,0,4,2,1,7,1,4,1,2,1,1,3,1,,2,4
10154,0,5,1,1,3,2,2,2,2,4,2,4,2,3,2,2
10155,0,4,2,2,6,2,1,1,1,1,1,1,1,,1,1
10156,1,5,3,1,7,,5,5,5,3,2,3,1,,5,5
10157,0,2,2,1,1,2,2,3,2,1,1,2,2,1,2,1
10158,0,4,2,,3,1,1,1,1,1,1,1,1,,1,1
10159,1,3,2,1,7,2,1,5,1,1,5,3,1,1,5,1
1016,0,3,,3,4,,1,1,1,1,2,4,1,1,2,1
10160,0,5,2,1,8,2,4,2,4,2,2,3,2,2,4,4
10161,0,5,2,1,4,2,1,1,1,1,1,1,1,1,1,1
10162,1,3,3,1,6,1,1,5,5,1,5,4,1,1,5,5
10163,0,5,2,1,7,3,1,2,2,1,2,2,1,1,1,1
10164,1,1,,3,6,,4,2,1,4,2,1,1,2,1,1
10165,0,6,2,1,2,2,1,1,1,1,1,2,1,,1,1
10166,1,5,2,1,2,4,5,5,3,3,5,3,1,,5,5
10167,0,5,2,1,4,5,1,1,1,1,1,1,1,,1,1
10168,1,2,2,1,1,1,5,5,4,2,5,3,1,5,4,3
10169,0,2,2,,1,2,1,1,2,1,1,1,1,,1,1
1017,0,2,,,2,1,4,2,2,2,2,1,2,,2,2
10170,0,5,2,1,2,2,1,1,1,1,1,1,1,1,1,1
10171,1,2,2,1,1,1,4,4,4,4,1,1,2,2,2,2
10172,1,3,,1,5,,3,3,3,3,2,3,2,1,2,3
10173,1,3,1,1,2,2,2,3,4,1,2,1,1,,5,4
10174,0,5,2,1,1,2,3,4,2,3,1,4,1,3,3,2
10175,1,4,2,1,7,3,3,3,4,4,3,3,2,,4,3
10176,0,3,2,3,4,3,2,2,2,2,5,3,2,1,2,2
10177,1,5,2,1,4,2,4,2,4,2,2,2,2,,4,2
10178,0,4,1,1,4,2,3,3,3,2,3,4,3,3,2,3
10179,0,4,,3,1,3,2,2,1,2,3,1,2,,2,1
1018,1,1,5,,2,,5,4,1,2,5,2,5,,1,5
10180,0,5,1,,5,3,2,1,1,1,4,1,1,,2,1
10181,0,3,2,1,4,4,1,1,1,1,1,1,1,,1,1
10182,1,2,1,,3,4,4,2,4,2,2,3,2,,4,3
10183,0,5,3,1,5,2,3,3,3,1,2,3,1,,2,2
10184,1,4,1,2,2,3,5,3,3,5,5,3,1,,5,2
10185,0,5,2,1,1,3,1,3,2,1,1,4,1,3,1,1
10186,1,2,,,2,4,2,5,4,4,2,2,2,,4,4
10187,1,3,2,1,1,4,4,2,1,3,1,2,1,,1,2
10188,1,3,1,,3,2,1,2,2,3,3,1,2,,2,2
10189,0,4,2,,3,2,4,4,4,1,2,1,1,,4,1
1019,1,4,1,,2,1,2,5,2,4,4,2,2,,3,3
10190,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2
10191,0,5,2,1,2,1,1,1,1,2,2,1,1,,1,1
10192,0,4,2,,5,2,1,1,1,1,1,1,1,,1,1
10193,1,0,2,1,0,,3,5,3,3,4,3,2,,4,4
10194,1,2,1,,3,1,3,3,3,4,4,2,2,,3,2
10195,1,2,1,1,2,3,2,2,4,2,2,2,1,,2,2
10196,1,4,2,1,3,3,4,5,5,5,1,4,4,3,3,3
10197,0,2,1,,2,2,2,1,2,2,4,1,1,,2,2
10198,0,3,1,1,4,2,4,3,2,2,4,3,2,5,2,2
10199,0,3,2,,2,1,3,1,1,1,2,1,1,,1,2
102,1,3,1,1,3,1,2,2,2,1,1,1,3,,3,2
1020,1,5,1,1,5,1,2,1,5,1,4,3,1,4,5,5
10200,0,5,2,,5,5,2,1,2,2,3,4,2,,2,2
10201,0,2,1,,2,1,1,2,2,1,1,1,1,,1,1
10202,0,5,2,1,5,2,1,2,2,1,1,2,1,,1,1
10203,0,3,2,1,4,1,2,1,2,2,2,3,2,2,2,2
10204,1,5,2,1,8,2,2,2,2,1,1,3,1,5,1,2
10205,0,1,2,,1,3,1,2,1,1,1,1,1,,2,1
10206,0,6,2,1,5,3,1,1,1,1,1,1,1,1,1,1
10207,0,6,1,1,5,2,1,3,2,1,2,1,1,3,1,2
10208,0,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1
10209,1,2,2,1,2,1,4,1,2,2,1,2,2,2,4,4
1021,1,3,1,1,3,1,4,5,5,1,2,3,2,3,5,4
10210,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1
10211,1,2,,1,1,2,2,1,5,1,1,3,2,3,2,4
10212,1,3,1,,5,4,1,4,1,4,5,2,1,,4,4
10213,0,3,1,1,6,4,2,2,4,1,2,3,2,,2,2
10214,1,2,5,1,4,3,1,5,1,5,1,3,1,5,5,5
10215,1,5,1,1,4,1,3,3,2,4,2,3,2,3,4,3
10216,0,3,,3,8,,4,2,2,4,5,2,2,,4,2
10217,0,3,2,,3,2,4,1,2,4,4,2,1,,2,1
10218,0,4,1,,4,1,4,4,2,5,2,3,1,,2,4
10219,0,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1
1022,1,4,1,1,5,1,2,5,1,4,5,3,1,4,1,4
10220,0,4,1,2,4,1,1,2,2,1,2,2,1,,2,2
10221,0,2,2,1,3,1,4,2,2,4,1,2,2,,4,2
10222,0,4,,1,1,1,1,2,2,1,1,1,1,,1,1
10223,0,4,2,1,3,1,2,2,2,2,2,4,2,2,2,2
10224,1,4,,3,4,2,2,4,2,1,5,3,2,,4,4
10225,1,5,2,1,6,2,5,5,5,2,5,3,1,,1,5
10226,0,2,2,1,3,4,2,5,5,1,1,1,1,1,2,2
10227,1,3,1,1,3,1,2,2,3,1,1,1,1,,2,1
10228,0,3,2,,1,3,1,1,1,1,1,1,1,,1,1
10229,0,2,2,1,1,5,2,3,1,1,1,4,1,2,3,2
1023,0,3,1,,1,2,2,2,1,4,2,1,1,,2,2
10230,0,4,1,1,2,2,1,1,1,1,2,1,1,2,1,1
10231,1,3,2,2,4,1,4,2,2,5,4,1,2,,4,2
10232,0,5,2,1,4,2,3,2,3,2,1,3,1,2,1,1
10233,1,3,1,1,5,1,5,5,5,5,5,3,2,5,1,5
10234,1,2,2,1,2,1,2,4,4,2,2,2,2,4,4,4
10235,0,1,2,1,1,2,2,4,4,2,2,1,2,4,2,2
10236,1,5,2,1,2,2,5,4,1,2,2,1,1,,4,1
10237,1,2,2,1,3,2,3,5,5,5,1,4,2,,3,5
10238,0,3,,1,4,2,3,2,2,4,1,4,2,,2,2
10239,0,5,2,1,5,1,3,3,3,4,4,2,2,3,3,4
1024,1,4,,,3,3,2,2,2,5,3,2,2,,2,3
10240,0,1,1,,2,2,2,2,2,3,4,1,2,,2,2
10241,1,1,,,2,2,3,3,3,1,3,2,1,,3,1
10242,0,3,2,,4,2,1,1,2,1,1,1,1,2,1,1
10243,0,3,1,2,1,3,3,2,2,4,1,1,2,,2,1
10244,1,3,1,2,4,2,2,5,3,4,5,3,1,,1,4
10245,1,2,1,,2,1,1,1,1,1,2,1,1,,1,1
10246,0,2,2,,1,2,1,2,3,1,4,1,1,,1,1
10247,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,2
10248,0,3,2,,1,3,4,2,1,1,5,2,1,,2,2
10249,1,5,2,1,4,1,4,5,4,1,2,3,1,,2,2
1025,1,3,1,1,5,1,4,2,2,2,2,1,2,,2,2
10250,1,3,2,1,3,2,1,1,1,1,1,4,1,,1,1
10251,0,3,2,2,3,3,4,2,2,2,4,1,2,1,2,1
10252,0,5,2,1,3,1,1,1,1,1,1,3,1,1,1,1
10253,1,2,1,1,2,1,4,4,1,1,4,3,1,2,4,5
10254,0,3,1,,2,4,1,3,2,2,2,2,1,,2,2
10255,1,2,1,,3,1,2,2,2,1,2,1,1,,1,1
10256,1,3,2,1,4,3,1,1,1,1,1,4,1,,1,1
10257,0,4,2,3,4,3,1,1,1,1,1,1,1,,1,1
10258,0,4,2,1,1,2,1,2,1,1,1,1,1,,1,1
10259,0,3,2,1,5,5,1,2,1,1,2,1,1,,2,1
1026,1,6,2,1,6,1,1,1,1,1,4,1,1,,1,1
10260,0,3,1,1,1,4,1,1,1,1,1,2,1,,1,1
10261,0,5,2,,5,1,3,1,2,1,4,1,1,,1,1
10262,0,3,1,,1,3,3,3,3,3,3,2,2,,3,3
10263,0,1,2,1,1,4,2,2,2,1,1,1,2,2,2,1
10264,0,4,2,,1,4,2,2,2,1,1,2,1,,1,2
10265,0,5,2,4,5,4,1,1,2,1,2,1,1,,2,2
10266,0,3,1,3,2,2,2,1,1,2,4,4,1,1,1,2
10267,0,4,2,1,5,2,2,1,4,1,1,2,1,1,1,1
10268,1,2,2,,2,1,1,2,1,1,4,2,1,,2,2
10269,0,1,2,1,1,2,2,2,4,1,1,1,1,,2,2
1027,1,4,2,,4,1,4,4,4,2,4,2,2,,3,3
10270,1,5,,1,7,3,3,2,3,2,2,3,2,2,1,4
10271,0,3,2,1,2,5,4,1,1,1,1,1,1,,2,1
10272,0,3,1,1,4,3,2,2,2,1,1,1,1,,2,2
10273,0,4,2,1,6,,1,1,1,1,1,1,1,1,1,1
10274,1,3,1,,2,3,2,1,3,1,3,4,1,,2,2
10275,1,3,2,1,5,2,1,1,5,1,5,3,1,1,2,3
10276,1,3,2,3,5,1,1,1,1,1,1,1,1,1,2,2
10277,0,4,2,2,3,3,2,1,2,1,1,3,1,,1,2
10278,1,3,,1,3,,4,5,4,3,4,3,2,,4,3
10279,1,6,2,1,3,2,2,2,2,1,1,4,1,,1,2
1028,1,4,2,,3,2,1,3,3,1,1,2,1,,1,1
10280,0,5,2,3,4,1,2,2,2,4,2,1,2,1,2,2
10281,1,3,2,,4,2,3,2,4,1,5,2,4,,4,3
10282,0,3,2,1,2,2,5,4,3,2,1,4,1,,4,3
10283,0,5,2,,1,2,1,1,1,1,1,2,1,,2,2
10284,0,5,2,1,5,1,1,1,1,1,1,1,1,,1,1
10285,1,5,2,1,3,2,2,1,2,4,1,2,1,,1,2
10286,1,3,1,1,5,1,2,2,1,1,2,3,2,,2,2
10287,1,3,2,,1,2,1,2,2,1,2,2,1,,1,1
10288,0,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1
10289,1,3,,1,4,,4,4,5,4,5,2,2,2,2,4
1029,1,4,2,,3,2,4,2,4,4,4,2,1,,2,2
10290,0,2,2,1,1,2,5,5,5,5,5,4,5,,5,5
10291,1,2,2,1,3,2,5,5,5,2,1,3,2,,5,3
10292,1,2,,1,2,1,5,4,1,1,1,3,2,,2,1
10293,0,2,1,1,2,2,4,4,4,1,1,3,1,3,4,2
10294,0,5,,1,3,,2,1,4,2,3,2,2,,1,1
10295,0,5,2,1,4,2,1,1,5,1,1,4,1,1,1,1
10296,1,2,1,,2,1,2,2,5,2,1,3,1,,1,2
10297,0,4,2,1,6,1,1,1,1,4,1,2,1,,2,1
10298,0,5,2,1,5,1,2,2,2,1,1,3,1,,2,1
10299,1,3,1,,5,2,4,4,4,4,4,3,1,,1,4
103,0,2,2,1,3,1,2,1,1,1,3,1,1,,1,1
1030,1,5,,1,8,1,4,1,1,1,4,4,1,,1,1
10300,1,2,2,1,1,2,1,2,4,1,1,2,2,2,1,2
10301,1,2,2,1,2,3,4,3,1,2,1,3,2,,5,4
10302,1,5,,1,7,3,4,3,2,2,4,2,2,3,2,3
10303,1,2,2,,2,2,2,3,3,4,3,1,1,,2,3
10304,1,4,1,1,1,1,2,2,2,2,2,1,2,,2,2
10305,1,2,1,1,1,1,1,3,3,1,3,4,1,2,2,1
10306,0,2,2,1,2,2,1,1,1,2,2,2,1,,1,2
10307,0,2,2,,1,2,2,1,1,2,2,1,1,,1,1
10308,1,3,1,,3,2,4,2,2,3,5,1,1,,4,2
10309,0,3,2,3,3,2,1,1,1,1,1,4,1,,1,1
1031,0,5,2,2,8,2,1,1,1,1,1,1,1,,1,1
10310,0,5,2,1,3,1,5,5,4,1,2,1,2,5,4,5
10311,0,2,2,1,1,1,3,4,3,2,2,2,1,1,2,2
10312,1,3,1,,5,1,3,5,4,3,5,3,2,,5,4
10313,0,4,,,3,3,3,3,1,1,5,1,1,,5,3
10314,1,2,2,1,3,1,2,2,2,1,1,3,1,4,3,2
10315,0,5,2,1,3,1,1,2,1,1,1,1,1,1,1,1
10316,0,2,1,1,1,1,2,1,2,2,1,4,1,,1,1
10317,1,3,,,2,5,2,4,4,5,5,4,1,,2,2
10318,1,2,1,,2,3,2,1,1,1,1,3,2,,5,2
10319,1,2,,1,1,1,2,3,2,4,5,4,2,,3,2
1032,0,4,2,2,2,2,5,1,1,1,1,1,1,,1,1
10320,1,3,2,1,4,1,5,4,5,1,2,3,1,5,1,2
10321,0,4,2,,6,2,1,1,2,1,2,4,1,,1,1
10322,0,5,2,1,5,1,2,1,2,1,2,1,2,2,2,2
10323,0,5,2,,3,1,2,3,2,2,4,1,2,,2,3
10324,1,2,2,1,2,1,2,4,2,4,4,3,2,,4,2
10325,1,2,1,1,2,1,5,5,2,5,5,3,2,5,5,5
10326,0,4,2,1,4,1,2,2,2,2,4,1,4,,1,2
10327,1,1,1,1,2,2,4,5,5,2,1,1,1,2,4,3
10328,1,6,2,,7,3,4,2,2,3,2,3,2,,2,2
10329,0,5,2,1,5,1,4,2,2,2,2,4,2,,4,2
1033,1,4,2,,6,5,2,3,3,1,3,3,2,,3,3
10330,1,2,1,1,1,1,3,1,2,1,1,4,1,3,2,5
10331,0,1,2,1,1,2,4,4,4,1,1,2,1,,4,2
10332,0,3,2,,2,2,2,4,2,1,2,1,2,,1,2
10333,1,1,2,1,1,1,2,2,1,4,1,1,1,,1,1
10334,1,1,1,1,2,1,2,5,5,1,2,4,1,1,2,2
10335,0,5,,1,4,,2,2,2,2,4,4,1,,2,2
10336,1,3,2,,5,2,3,4,2,2,4,2,2,,3,4
10337,1,6,2,1,3,2,5,4,4,3,4,3,3,4,4,4
10338,0,5,2,,7,2,2,2,2,2,2,1,2,,2,2
10339,0,3,2,,4,2,1,2,2,1,1,1,1,,1,2
1034,0,3,,2,2,2,2,1,2,1,1,1,1,,1,2
10340,0,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2
10341,0,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1
10342,1,5,2,1,2,3,2,3,3,2,2,2,2,3,3,3
10343,0,4,2,,5,1,3,1,1,1,1,3,1,,1,2
10344,0,2,2,1,2,5,1,1,1,1,1,1,2,,1,1
10345,0,1,1,,1,1,1,2,2,1,1,1,1,,1,1
10346,0,3,1,,2,2,2,2,2,1,3,1,1,,2,1
10347,0,1,1,1,2,1,2,3,2,1,1,2,1,1,1,1
10348,1,1,2,,1,2,2,2,2,1,1,1,1,,1,1
10349,1,2,1,1,2,2,2,2,2,2,2,2,1,,2,2
1035,0,4,,,2,,1,1,1,4,5,1,1,,1,1
10350,0,4,2,,4,2,4,4,4,2,3,2,1,,2,2
10351,0,2,1,1,3,4,4,4,1,4,1,1,1,,4,1
10352,0,5,1,1,8,1,2,3,4,2,3,4,2,,2,2
10353,0,5,2,,5,1,2,1,1,1,1,1,1,,1,1
10354,0,5,2,3,6,3,2,1,1,1,2,1,1,1,1,1
10355,0,1,2,1,2,2,1,2,5,1,1,3,1,,4,1
10356,1,5,,,2,2,4,2,2,5,4,2,1,,4,2
10357,1,5,,1,5,2,5,5,5,3,4,3,2,5,5,5
10358,0,4,1,,2,1,4,3,4,4,4,2,1,,4,3
10359,1,3,1,,3,2,1,1,3,1,5,4,1,,1,1
1036,1,5,,1,4,2,4,5,2,5,2,4,1,,2,2
10360,0,5,,1,8,2,2,1,2,2,2,2,2,,1,2
10361,0,2,2,1,2,2,2,4,3,2,2,2,2,4,4,3
